caseid,wt2,wt2a,knowledge,sex,race,age,female,white,oftenvote,conservative,prayfreq,heterosexual,married,yrsofschool,income,speaker,vp,pm,cj
2283,.70819998,68569.997349,1,1,1,45,0,1,3,2,5,0,1,14,25,0,1,0,0
2284,.74190003,71836.11367000001,1,1,1,44,0,1,1,4,2,0,0,12,4,0,1,0,0
2286,.96100003,93055.98327899999,0,2,2,18,1,0,1,4,2,1,0,11,3,0,0,0,0
2288,.52710003,51035.632091,3,1,2,30,0,0,1,3,3,1,0,12,2,1,1,0,1
2289,.33219999,32167.852466,3,2,2,54,1,0,3,3,5,1,0,16,5,1,1,0,1
2290,.83130002,80493.178056,1,2,1,32,1,1,3,2,1,1,0,14,18,0,1,0,0
2291,1.0986,106374.566628,4,2,1,52,1,1,4,2,1,1,1,17,15,1,1,1,1
2293,1.2801,123954.449072,3,1,1,23,0,1,3,5,4,1,0,17,4,1,1,1,0
2294,.73689997,71352.003457,2,1,1,59,0,1,1,2,1,1,0,13,13,1,1,0,0
2297,2.1020999,203540.974742,3,1,1,49,0,1,4,3,5,1,0,16,20,0,1,1,1
2298,1.4617,141530.446623,1,1,1,30,0,1,2,5,3,1,0,11,11,0,1,0,0
2299,1.3345,129215.273674,3,2,4,23,1,0,1,5,3,0,0,11,12,0,1,1,1
2300,.73570001,71234.59314300001,2,2,4,37,1,0,1,3,3,1,0,17,16,0,1,1,0
2301,.9242,89488.096089,2,1,2,25,0,0,1,3,5,1,0,13,8,0,1,1,0
2302,.94870001,91858.414882,1,2,1,23,1,1,3,4,5,1,0,12,2,0,0,0,1
2303,.91170001,88274.359385,3,1,1,70,0,1,4,4,5,1,0,8,12,1,1,1,0
2304,1.3753999,133179.983179,3,2,1,44,1,1,3,6,5,1,1,14,6,1,1,0,1
2305,1.4254,138019.285799,3,2,1,74,1,1,4,6,3,1,1,16,12,1,1,0,1
2307,1.4486001,140264.459863,3,1,1,42,0,1,3,4,1,1,0,12,8,0,1,1,1
2308,1.1482,111176.249851,3,2,1,32,1,1,3,2,1,1,1,14,12,0,1,1,1
2311,1.4486001,140264.459863,3,2,1,49,1,1,3,1,2,1,1,12,7,1,1,0,1
2313,.73390001,71061.59526,4,1,1,88,0,1,3,2,1,1,0,13,16,1,1,1,1
2316,1.9263999,186534.548042,3,2,1,69,1,1,4,5,5,1,1,12,16,0,1,1,1
2317,2.5409,246036.044184,4,1,1,55,0,1,3,2,1,1,1,16,18,1,1,1,1
2320,3.1019001,300352.843395,2,1,1,28,0,1,1,3,1,1,0,12,4,0,0,1,1
2321,1.9227,186174.418759,4,1,1,39,0,1,3,4,4,1,1,13,15,1,1,1,1
2322,.96319997,93267.581848,2,1,1,64,0,1,4,6,3,1,1,12,25,0,0,1,1
