ID,SCOTUSApproval,TrumpApproval,KnowChiefJustice,Democrat,GOP,Female,White,Black,Education,Age
990740,3,1,1,0,0,1,1,0,13,76
990767,2,2,1,0,0,0,1,0,9,51
990773,2,1,1,0,0,1,1,0,10,74
990966,3,2,1,0,1,0,1,0,13,59
990974,3,2,0,1,0,0,1,0,10,85
990978,3,3,1,0,1,1,1,0,9,81
990981,3,2,1,0,1,1,1,0,13,55
990982,2,2,0,1,0,0,0,1,9,37
990992,3,1,1,1,0,0,1,0,12,76
990993,2,1,1,0,0,1,1,0,13,62
990998,3,4,1,0,1,0,1,0,11,40
991001,2,2,1,0,0,0,1,0,12,70
991002,3,4,1,0,0,1,1,0,12,51
991008,2,1,1,1,0,1,1,0,10,70
991010,4,1,1,0,1,0,1,0,13,77
991021,3,1,1,1,0,1,1,0,13,62
991024,3,3,0,0,1,1,1,0,13,48
991025,3,3,0,1,0,1,1,0,10,60
991030,3,1,1,1,0,1,1,0,15,60
991036,2,3,1,0,0,1,1,0,13,51
991037,3,1,1,1,0,1,0,1,12,64
991042,4,1,1,0,0,1,1,0,12,35
991043,3,1,1,1,0,0,1,0,12,30
991047,3,3,1,0,1,1,1,0,12,51
991048,2,1,0,1,0,1,1,0,10,44
991053,3,1,0,1,0,0,1,0,9,62
991060,3,3,1,0,1,0,1,0,14,43
991067,1,1,0,1,0,0,1,0,12,30
991068,3,1,1,0,0,1,1,0,12,32
991069,2,1,1,1,0,0,1,0,8,60
991073,3,3,1,0,0,0,1,0,11,42
991081,3,1,1,0,0,0,1,0,13,52
991083,3,1,0,1,0,1,1,0,9,58
991085,2,1,1,1,0,0,1,0,15,70
991087,3,1,1,1,0,0,1,0,12,36
991090,3,1,1,1,0,1,1,0,12,52
991091,3,1,1,0,0,1,1,0,13,65
991094,3,1,1,0,1,1,1,0,14,60
991095,2,3,0,0,0,1,1,0,12,62
991097,3,4,1,0,1,0,1,0,14,69
991102,2,1,1,1,0,1,1,0,12,71
991106,2,3,1,0,0,0,1,0,12,72
991113,3,4,1,0,0,0,0,0,12,30
991120,3,1,1,1,0,1,1,0,13,65
991121,3,1,1,0,0,0,1,0,15,67
991124,3,3,1,0,0,0,1,0,12,73
991125,3,1,1,1,0,1,1,0,10,26
991127,1,4,0,0,1,0,1,0,10,70
991129,3,4,1,0,0,0,1,0,12,42
991131,2,1,1,0,1,0,0,0,9,92
991132,4,1,1,1,0,1,0,0,10,73
991136,4,1,1,0,0,0,0,1,14,52
991450,1,1,1,0,0,1,1,0,14,79
991454,2,1,1,0,0,0,1,0,13,44
991457,1,2,1,0,0,1,1,0,10,54
991461,2,1,0,1,0,1,0,1,12,42
991464,1,1,1,1,0,0,1,0,13,39
991467,3,1,1,1,0,1,1,0,12,53
991485,3,3,1,0,0,0,1,0,12,61
991488,3,2,0,1,0,0,0,1,10,58
991492,1,2,0,0,1,1,1,0,13,69
991494,3,1,1,1,0,1,1,0,13,69
991497,2,1,1,1,0,0,1,0,12,86
991501,3,1,1,0,0,0,0,1,11,59
991506,2,4,0,0,1,0,1,0,9,48
991624,3,1,0,1,0,0,0,0,9,28
991625,3,3,0,0,0,1,1,0,9,71
991628,3,4,0,1,0,1,1,0,9,55
991629,1,1,1,1,0,1,1,0,9,55
991632,3,2,1,1,0,0,0,0,14,37
991828,3,1,1,0,0,1,0,1,12,56
991830,4,1,1,1,0,0,1,0,12,63
991833,3,1,1,1,0,1,1,0,14,42
991836,3,1,1,1,0,0,1,0,11,69
991838,4,4,1,0,1,0,1,0,15,79
991843,1,1,1,0,0,0,1,0,13,43
991844,3,3,1,0,1,1,1,0,11,45
991848,3,3,1,0,0,1,1,0,12,72
991849,1,1,0,0,0,0,1,0,9,24
993275,3,3,0,0,1,0,0,0,10,49
993277,2,3,1,0,0,0,1,0,12,55
993278,3,1,1,1,0,0,0,0,10,47
993289,3,1,1,1,0,1,0,1,12,69
993290,3,4,1,0,1,0,1,0,11,85
993293,3,4,1,0,1,0,1,0,9,82
993295,3,3,1,0,1,0,1,0,13,34
