"ID","SexistRemarks","GainPower","HarrisTherm","TrumpTherm","RFemale","RAge","RConservative"
207762,3,1,75,0,1,71,4
207768,2,1,0,85,0,69,6
207789,3,3,70,50,0,41,4
207813,3,3,70,60,0,56,4
207848,2,1,100,0,0,63,2
207866,1,1,100,0,1,36,2
207872,1,1,60,0,1,66,2
207890,4,4,90,0,0,54,4
207914,4,2,5,75,0,36,5
207938,3,4,0,100,1,28,6
207956,4,2,50,15,0,29,3
208033,4,2,85,0,1,63,3
208065,5,2,0,60,0,28,4
208090,2,2,95,10,1,27,3
208134,4,4,60,5,1,61,4
208140,4,3,70,0,1,33,4
208164,3,3,50,0,1,40,4
208194,3,3,85,0,0,61,2
208200,1,2,40,0,1,22,1
208206,1,4,85,10,0,50,2
208224,1,1,100,15,0,54,6
208248,4,3,0,60,0,61,4
208254,2,1,70,0,1,63,4
208284,4,2,50,60,1,51,4
208290,1,1,80,0,1,23,2
208302,1,1,85,0,0,77,6
208308,3,1,30,60,1,42,5
208336,2,1,60,0,0,33,3
208342,1,1,100,0,0,35,1
208360,3,3,70,40,0,36,4
208366,1,1,90,0,0,44,3
208372,3,2,75,0,0,73,4
208390,1,1,70,0,0,61,3
208402,5,1,0,100,0,42,4
208425,1,1,60,0,1,27,3
208431,4,2,60,30,0,46,4
208443,2,1,85,0,0,64,2
208455,3,3,0,70,0,27,5
208461,4,4,90,0,1,73,3
208485,3,3,85,100,0,44,4
208491,4,2,0,60,0,71,4
208503,4,1,95,0,1,70,2
208527,1,3,0,100,0,80,6
208570,3,3,85,15,1,31,4
208599,2,2,85,0,1,43,4
208623,2,3,15,85,0,80,6
208647,3,1,15,100,1,38,6
208682,3,3,0,100,1,80,6
208712,1,1,0,100,1,25,7
208765,5,5,0,50,0,27,5
208805,3,3,70,30,0,32,4
208811,1,1,70,0,0,34,2
208859,2,2,85,0,0,36,2
208883,2,1,95,0,0,62,3
208901,4,4,5,50,0,45,5
208907,1,4,0,100,1,79,6
208937,3,3,0,85,1,54,5
208943,4,4,0,100,0,61,5
208963,3,3,100,0,1,74,2
208980,3,2,90,5,0,48,3
208992,1,1,85,0,1,72,2
209010,3,3,85,0,1,75,3
209016,3,3,100,0,0,78,3
209052,2,1,15,85,1,50,6
209076,1,1,85,0,0,33,2
209082,4,4,0,80,0,57,6
209088,4,3,70,0,0,70,2
209152,3,3,0,90,1,43,6
209212,3,3,5,70,1,29,6
209287,4,3,30,30,0,58,4
209293,3,1,75,0,0,77,2
209299,3,3,50,50,1,31,4
209316,1,1,40,0,0,50,1
209322,2,1,70,0,1,63,2
209328,2,3,70,0,1,38,4
209334,1,2,85,70,1,50,4
209340,1,1,88,0,1,59,1
209364,1,1,85,0,1,25,1
209382,2,1,30,60,0,41,6
209394,2,1,100,0,1,42,4
209508,2,1,50,60,0,45,4
209519,4,2,85,0,0,72,4
209525,2,1,75,15,1,39,3
209549,3,3,70,0,0,34,2
209555,3,1,85,0,1,67,4
209603,3,3,40,50,0,66,4
209633,4,4,0,100,1,57,6
209635,4,3,0,85,0,55,6
209700,2,2,100,0,1,72,2
209730,3,4,0,85,1,20,7
209736,4,4,75,0,1,57,4
