WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,weights,BedSize
991106,0,0,0,12,4,4,0,1,0,71,0.08,2
991110,1,0,0,6,2,6,1,0,0,83,7.38,3
991113,0,0,0,13,7,6,0,0,0,29,1.71,3
991117,1,0,0,15,5,2,0,0,1,41,0.25,4
991120,1,0,0,13,12,2,1,0,1,64,1.37,4
991121,1,0,0,14,10,4,0,0,1,67,0.26,3
991123,1,0,0,12,4,6,0,0,0,28,0.58,2
991124,1,0,0,12,3,6,0,0,0,72,0.33,4
991125,1,0,0,12,4,4,1,0,1,24,0.67,3
991127,1,0,0,11,2,7,0,0,0,70,0.12,3
991131,0,0,1,9,8,5,0,0,0,92,1.72,3
991132,0,1,0,10,3,2,1,0,1,72,0.56,1
991136,0,1,0,14,13,4,0,0,0,50,1.48,3
991450,1,0,0,12,9,3,1,0,0,79,0.19,3
991453,1,0,0,12,10,6,0,0,0,58,0.31,4
991454,1,0,0,13,8,4,0,0,0,43,0.37,3
991461,0,1,0,13,10,2,1,0,1,42,1.97,3
991464,1,0,0,13,12,1,0,0,1,39,2.83,4
991467,1,0,0,12,6,2,1,1,0,53,0.36,4
991469,0,0,0,10,3,4,1,0,1,28,7.38,4
991472,1,0,0,13,10,2,1,0,1,60,0.73,3
991477,0,0,1,15,14,4,0,0,1,43,2.9,4
991485,1,0,0,12,12,7,0,1,0,60,1.27,2
991492,1,0,0,13,9,6,1,1,0,68,0.06,4
991494,1,0,0,13,12,1,1,0,1,69,0.95,4
991497,1,0,0,12,8,2,0,0,1,85,0.25,2
991500,1,0,0,12,10,4,1,0,1,55,0.26,2
991501,0,1,0,11,9,4,0,0,1,59,0.54,3
991506,1,0,0,9,5,6,0,1,0,47,0.83,4
991624,0,0,0,10,3,2,0,0,1,27,3.24,2
991625,1,0,0,9,3,4,1,0,0,71,0.25,3
991628,1,0,0,9,1,8,1,0,1,55,1.17,2
991629,1,0,0,12,7,2,0,0,1,57,0.31,3
991630,1,0,0,9,1,1,1,0,1,69,5.9,2
991632,1,0,0,14,7,2,0,0,1,36,1.7,4
991633,1,0,0,12,8,6,0,0,1,57,0.58,4
991638,0,1,0,12,10,3,1,0,1,53,0.7,4
991828,0,1,0,12,5,4,1,0,0,56,0.19,2
991830,1,0,0,12,12,2,0,0,1,62,0.48,2
991833,1,0,0,15,11,2,1,0,1,42,3.42,3
991834,1,0,0,12,4,2,0,0,1,31,0.78,2
991836,1,0,0,11,13,3,0,0,1,69,0.99,4
991838,1,0,0,15,14,3,0,1,0,78,1.15,4
991843,1,0,0,13,13,2,0,0,1,42,3.19,3
991848,1,0,0,12,15,4,1,0,0,71,0.34,3
993277,1,0,0,12,13,5,0,0,0,54,0.68,4
993278,0,1,0,10,5,4,0,0,1,46,0.32,3
993286,1,0,0,13,12,2,1,0,1,55,0.81,3
993289,0,1,0,12,4,2,1,0,1,69,0.39,3
993290,1,0,0,12,8,7,0,1,0,84,0.42,4
993293,1,0,0,9,7,6,0,1,0,81,0.51,3
993294,1,0,0,9,4,8,1,1,0,83,6.87,3
993302,1,0,0,10,5,4,1,0,0,80,0.18,3
993303,1,0,0,15,12,8,0,0,0,40,2.69,4
993308,1,0,0,12,5,3,0,0,1,65,0.14,3
993309,0,1,0,11,4,4,1,0,1,56,0.76,3
993310,1,0,0,10,2,3,0,0,0,45,0.4,2
993312,1,0,0,12,8,1,1,0,1,62,0.32,4
993315,1,0,0,11,4,5,1,0,0,44,0.65,3
993316,1,0,0,15,5,3,0,0,1,71,0.48,3
993320,1,0,0,12,6,5,1,1,0,38,0.3,4
993325,1,0,0,10,5,7,0,0,0,45,2.22,3
993328,1,0,0,11,9,5,1,0,0,62,0.6,3
993332,1,0,0,10,5,4,1,1,0,36,1.17,4
993335,1,0,0,10,5,3,0,0,1,58,7.38,3
993336,0,0,0,11,8,8,0,0,1,46,1.09,3
993337,1,0,0,12,4,5,1,1,0,31,0.3,3
993339,1,0,0,13,11,3,0,0,1,42,0.8,3
993340,1,0,0,14,6,1,0,0,1,73,0.13,4
993341,0,0,0,9,3,3,1,0,1,71,1.14,3
993345,1,0,0,10,5,8,1,0,1,44,1.2,2
993349,1,0,0,13,13,4,0,0,0,70,0.48,3
993350,1,0,0,9,10,5,1,0,0,81,4.81,3
993352,1,0,0,10,9,2,1,0,1,46,0.34,4
993353,1,0,0,9,5,6,1,1,0,69,0.99,3
993356,1,0,0,12,6,6,1,1,0,26,4.26,2
993357,1,0,0,13,6,2,1,0,0,79,0.22,3
993358,1,0,0,11,15,4,1,0,1,70,0.67,3
993360,0,0,0,12,6,4,0,0,1,58,0.3,3
993361,1,0,0,12,4,5,1,1,0,81,0.12,2
993365,1,0,0,12,6,6,0,0,0,46,0.06,4
993366,1,0,0,11,7,4,1,0,0,52,0.82,3
993369,1,0,0,13,6,4,0,0,1,68,0.14,3
993371,1,0,0,13,12,2,0,0,1,46,1.5,4
993372,1,0,0,15,15,6,0,1,0,42,1.57,4
993780,0,1,0,11,6,2,1,0,1,43,0.99,3
993781,1,0,0,12,3,6,1,1,0,71,0.06,3
993786,1,0,0,13,9,5,1,1,0,35,1.01,3
993787,1,0,0,12,10,8,1,0,0,37,1.01,3
993788,1,0,0,10,10,3,1,0,1,61,0.6,3
993790,1,0,0,9,8,7,1,1,0,78,1.15,1
993794,1,0,0,9,5,4,0,0,0,76,0.24,3
993798,1,0,0,13,6,2,1,0,0,49,0.43,2
993800,1,0,0,9,10,4,0,0,1,52,1.5,2
993804,0,1,0,9,3,5,1,0,1,40,0.67,4
994546,0,0,0,11,2,2,1,0,1,87,1.51,2
994549,0,1,0,15,13,4,1,0,1,47,0.67,4
994551,1,0,0,14,12,4,0,0,0,73,0.53,3
994552,1,0,0,9,5,8,1,0,0,44,1.39,3
994553,1,0,0,9,2,4,1,1,0,78,0.31,3
994560,1,0,0,10,2,5,0,0,0,61,0.11,1
994561,1,0,0,13,12,6,0,1,0,65,0.54,4
994562,1,0,0,12,3,2,0,0,0,62,0.07,2
