WUSTLID,White,Black,Asian,Education,Income,Ideology,Female,GOP,Democrat,Age2016,StealShampoo,weights
991834,1,0,0,12,4,2,0,0,1,45,1,0.78
991836,1,0,0,11,13,3,0,0,1,76,0,0.99
991838,1,0,0,15,14,3,0,1,0,74,1,1.15
991843,1,0,0,13,13,2,0,0,1,81,1,3.19
991848,1,0,0,12,15,4,1,0,0,61,1,0.34
991849,1,0,0,9,2,1,0,0,0,37,0,2.85
993277,1,0,0,12,13,5,0,0,0,60,1,0.68
993278,0,1,0,10,5,4,0,0,1,71,0,0.32
993286,1,0,0,13,12,2,1,0,1,39,1,0.81
993289,0,1,0,12,4,2,1,0,1,54,1,0.39
993290,1,0,0,12,8,7,0,1,0,61,1,0.42
993293,1,0,0,9,7,6,0,1,0,70,1,0.51
993294,1,0,0,9,4,8,1,1,0,31,1,6.87
993302,1,0,0,10,5,4,1,0,0,70,1,0.18
993303,1,0,0,15,12,8,0,0,0,39,1,2.69
993308,1,0,0,12,5,3,0,0,1,55,1,0.14
993309,0,1,0,11,4,4,1,0,1,79,1,0.76
993310,1,0,0,10,2,3,0,0,0,73,1,0.4
993312,1,0,0,12,8,1,1,0,1,68,1,0.32
993315,1,0,0,11,4,5,1,0,0,81,1,0.65
993316,1,0,0,15,5,3,0,0,1,77,1,0.48
993320,1,0,0,12,6,5,1,1,0,83,1,0.3
993325,1,0,0,10,5,7,0,0,0,78,1,2.22
993328,1,0,0,11,9,5,1,0,0,60,0,0.6
993332,1,0,0,10,5,4,1,1,0,69,1,1.17
993335,1,0,0,10,5,3,0,0,1,56,0,7.38
993336,0,0,0,11,8,8,0,0,1,61,1,1.09
993337,1,0,0,12,4,5,1,1,0,69,1,0.3
993339,1,0,0,13,11,3,0,0,1,34,1,0.8
993340,1,0,0,14,6,1,0,0,1,51,1,0.13
993341,0,0,0,9,3,3,1,0,1,38,1,1.14
993345,1,0,0,10,5,8,1,0,1,73,1,1.2
993349,1,0,0,13,13,4,0,0,0,42,1,0.48
993350,1,0,0,9,10,5,1,0,0,50,1,4.81
993352,1,0,0,10,9,2,1,0,1,74,1,0.34
993353,1,0,0,9,5,6,1,1,0,55,1,0.99
993356,1,0,0,12,6,6,1,1,0,61,0,4.26
993357,1,0,0,13,6,2,1,0,0,58,1,0.22
